PassengerId,Survived
892,0.12922554
893,0.05425845
894,0.023119474
895,0.16990453
896,0.19976787
897,0.31075534
898,0.16170137
899,0.14370027
900,0.2693569
901,0.23673928
902,0.19717227
903,0.055747014
904,0.1840198
905,0.01826522
906,0.049865216
907,0.17171946
908,0.10875554
909,0.2370416
910,0.16202104
911,0.06672862
912,0.03327066
913,0.36793885
914,0.091620475
915,0.21311477
916,0.045991205
917,0.04612001
918,0.20130455
919,0.22095872
920,0.074066825
921,0.21416022
922,0.039369088
923,0.17972675
924,0.10546338
925,0.16921271
926,0.1358069
927,0.26559278
928,0.19541134
929,0.22565983
930,0.18773279
931,0.19717227
932,0.090246186
933,0.09255371
934,0.08041179
935,0.12509678
936,0.055946544
937,0.18773279
938,0.06203756
939,0.21926102
940,0.025622198
941,0.09326689
942,0.17669052
943,0.15462615
944,0.2084015
945,0.13039964
946,0.13940226
947,0.4151189
948,0.1118202
949,0.18773279
950,0.1900226
951,0.10152381
952,0.2731236
953,0.113512054
954,0.26123118
955,0.2387317
956,0.2992084
957,0.1318982
958,0.2856396
959,0.0526343
960,0.13406229
961,0.022368906
962,0.21735623
963,0.22761616
964,0.15200515
965,0.15269206
966,0.10720068
967,0.12383227
968,0.19717227
969,0.03434746
970,0.12632349
971,0.21735623
972,0.412952
973,0.015503539
974,0.04689509
975,0.19717227
976,0.14943592
977,0.198291
978,0.18795063
979,0.25908282
980,0.21735623
981,0.41898096
982,0.20758729
983,0.19717227
984,0.13440868
985,0.19717227
986,0.18227264
987,0.18773279
988,0.008933724
989,0.15344948
990,0.23645116
991,0.12446752
992,0.06590042
993,0.14216505
994,0.21926102
995,0.1786447
996,0.27479896
997,0.16150789
998,0.25204474
999,0.21926102
1000,0.19717227
1001,0.22526018
1002,0.07247826
1003,0.21735623
1004,0.10152381
1005,0.27948248
1006,0.019469688
1007,0.26259455
1008,0.20567279
1009,0.47658136
1010,0.1025465
1011,0.12674178
1012,0.29910237
1013,0.21152145
1014,0.10289533
1015,0.16150789
1016,0.21926102
1017,0.26149574
1018,0.21711338
1019,0.22618859
1020,0.06520261
1021,0.19717227
1022,0.1312399
1023,0.03909251
1024,0.18912722
1025,0.198291
1026,0.0718735
1027,0.19717227
1028,0.18196703
1029,0.15566076
1030,0.20513937
1031,0.083580606
1032,0.3319409
1033,0.113949545
1034,0.021651868
1035,0.14035198
1036,0.070007026
1037,0.13596113
1038,0.09255371
1039,0.21711342
1040,0.09255371
1041,0.11630669
1042,0.19171454
1043,0.20567279
1044,0.026050163
1045,0.09326689
1046,0.32275346
1047,0.19717227
1048,0.14087641
1049,0.20513937
1050,0.070007026
1051,0.15883645
1052,0.21735623
1053,0.39830744
1054,0.15419945
1055,0.19717227
1056,0.06900444
1057,0.16372976
1058,0.052242044
1059,0.24627282
1060,0.09611528
1061,0.21522215
1062,0.19717227
1063,0.17748933
1064,0.19954892
1065,0.20567279
1066,0.0853245
1067,0.23793949
1068,0.20791268
1069,0.03528089
1070,0.08420345
1071,0.017783854
1072,0.12632349
1073,0.08915405
1074,0.23404482
1075,0.21926102
1076,0.1508823
1077,0.07301073
1078,0.1905384
1079,0.2834015
1080,0.16534816
1081,0.07301073
1082,0.09773457
1083,0.09255371
1084,0.32328013
1085,0.0245319
1086,0.3257178
1087,0.12446752
1088,0.3829559
1089,0.25908282
1090,0.18114142
1091,0.19541134
1092,0.21735623
1093,0.44677404
1094,0.052987073
1095,0.33123535
1096,0.16381282
1097,0.09708934
1098,0.12462326
1099,0.17230472
1100,0.119395755
1101,0.18773279
1102,0.1312399
1103,0.19717227
1104,0.2415592
1105,0.021599643
1106,0.093554355
1107,0.070007026
1108,0.21735623
1109,0.026809964
1110,0.04209243
1111,0.19717227
1112,0.12587073
1113,0.22761616
1114,0.18861303
1115,0.22761616
1116,0.038675386
1117,0.18353729
1118,0.20696543
1119,0.21735623
1120,0.0826866
1121,0.09125992
1122,0.27649623
1123,0.21047713
1124,0.21966465
1125,0.21926102
1126,0.08337978
1127,0.23847225
1128,0.019532157
1129,0.24820279
1130,0.21247426
1131,0.049492523
1132,0.03440298
1133,0.04804291
1134,0.056787003
1135,0.19717227
1136,0.17078765
1137,0.070986405
1138,0.18861297
1139,0.059701152
1140,0.12674178
1141,0.1965226
1142,0.4196393
1143,0.23847225
1144,0.15864818
1145,0.19717227
1146,0.12781546
1147,0.19717227
1148,0.21926102
