PassengerId,Survived
892,0.9974502
893,0.99939144
894,0.99997234
895,0.9872636
896,0.97225577
897,0.9020672
898,0.9943032
899,0.9843934
900,0.953653
901,0.97600913
902,0.9793753
903,0.9993662
904,0.9692554
905,0.99995637
906,0.99932504
907,0.97840387
908,0.99772686
909,0.97304237
910,0.9851665
911,0.9994098
912,0.999853
913,0.82962763
914,0.9970444
915,0.97450125
916,0.99942744
917,0.9996233
918,0.9766759
919,0.9787763
920,0.9985669
921,0.98801
922,0.99963546
923,0.9856463
924,0.9939448
925,0.9748453
926,0.9913468
927,0.95999
928,0.9785138
929,0.9656913
930,0.9824289
931,0.9793753
932,0.9987388
933,0.99724907
934,0.99869126
935,0.99185354
936,0.9990701
937,0.9824289
938,0.9993986
939,0.98599213
940,0.9999442
941,0.9968489
942,0.97365856
943,0.99004525
944,0.97471535
945,0.9897947
946,0.99279964
947,0.8489669
948,0.99652004
949,0.9824289
950,0.97618777
951,0.9971949
952,0.9380219
953,0.99451727
954,0.94686604
955,0.9792726
956,0.9263637
957,0.9904218
958,0.96090806
959,0.9994617
960,0.9941109
961,0.9999126
962,0.98496234
963,0.96676594
964,0.990249
965,0.9911669
966,0.9966988
967,0.99538475
968,0.9793753
969,0.99988794
970,0.992415
971,0.98496234
972,0.75371635
973,0.99997425
974,0.9996117
975,0.9793753
976,0.99396557
977,0.9792032
978,0.990734
979,0.94564193
980,0.98496234
981,0.5637675
982,0.9675152
983,0.9793753
984,0.9826195
985,0.9793753
986,0.98445976
987,0.9824289
988,0.9999937
989,0.9907804
990,0.9599616
991,0.995182
992,0.99887925
993,0.98462707
994,0.98599213
995,0.98503727
996,0.9384132
997,0.9891622
998,0.97733444
999,0.98599213
1000,0.9793753
1001,0.9523687
1002,0.9989796
1003,0.98496234
1004,0.9971949
1005,0.96386313
1006,0.99994814
1007,0.94687927
1008,0.98331153
1009,0.5460878
1010,0.99738926
1011,0.9880426
1012,0.86549795
1013,0.9825319
1014,0.9959501
1015,0.9891622
1016,0.98599213
1017,0.94575685
1018,0.9716324
1019,0.9892012
1020,0.9989247
1021,0.9793753
1022,0.99433184
1023,0.99983716
1024,0.9776677
1025,0.9792032
1026,0.99905556
1027,0.9793753
1028,0.9888442
1029,0.9855224
1030,0.9748697
1031,0.99850154
1032,0.8337479
1033,0.9943346
1034,0.99993396
1035,0.98951495
1036,0.9987826
1037,0.9946179
1038,0.99724907
1039,0.9716324
1040,0.99724907
1041,0.9918189
1042,0.980121
1043,0.98331153
1044,0.99994576
1045,0.9968489
1046,0.8675755
1047,0.9793753
1048,0.9891967
1049,0.9748697
1050,0.9987826
1051,0.984068
1052,0.98496234
1053,0.78226656
1054,0.9844587
1055,0.9793753
1056,0.9987342
1057,0.98519915
1058,0.9996315
1059,0.9616829
1060,0.99761665
1061,0.97062624
1062,0.9793753
1063,0.98971015
1064,0.9721604
1065,0.98331153
1066,0.9981273
1067,0.9135825
1068,0.9596318
1069,0.99982697
1070,0.9963243
1071,0.99997115
1072,0.992415
1073,0.9976065
1074,0.9339404
1075,0.98599213
1076,0.9876846
1077,0.99850994
1078,0.9701099
1079,0.9548864
1080,0.9823753
1081,0.99850994
1082,0.99504834
1083,0.99724907
1084,0.8665952
1085,0.99996746
1086,0.75769293
1087,0.995182
1088,0.7345543
1089,0.94564193
1090,0.97658134
1091,0.9785138
1092,0.98496234
1093,0.54366034
1094,0.99945706
1095,0.76790744
1096,0.98299706
1097,0.9977818
1098,0.99747473
1099,0.9800402
1100,0.99542904
1101,0.9824289
1102,0.99433184
1103,0.9793753
1104,0.9399383
1105,0.99992347
1106,0.9971681
1107,0.9987826
1108,0.98496234
1109,0.9998865
1110,0.9996917
1111,0.9793753
1112,0.9917847
1113,0.96676594
1114,0.97055095
1115,0.96676594
1116,0.99982506
1117,0.98223245
1118,0.9758041
1119,0.98496234
1120,0.99858
1121,0.99713993
1122,0.9031211
1123,0.9620907
1124,0.96203095
1125,0.98599213
1126,0.99799734
1127,0.9610982
1128,0.99996614
1129,0.9684101
1130,0.94270027
1131,0.99950445
1132,0.99987376
1133,0.9992976
1134,0.99935097
1135,0.9793753
1136,0.9748137
1137,0.9982327
1138,0.97055095
1139,0.9988397
1140,0.9880426
1141,0.979046
1142,0.5484987
1143,0.9610982
1144,0.98595154
1145,0.9793753
1146,0.99477404
1147,0.9793753
1148,0.98599213
1149,0.9891622
1150,0.95280665
1151,0.96676594
1152,0.99672556
1153,0.96676594
1154,0.99049944
1155,0.5460878
1156,0.99387807
1157,0.9793753
1158,0.99724907
1159,0.9793753
1160,0.9785138
1161,0.9380219
1162,0.9994892
1163,0.98599213
1164,0.9830684
1165,0.98125273
1166,0.98331153
1167,0.95066863
1168,0.98951495
1169,0.99813604
1170,0.9905261
1171,0.9725399
1172,0.9748697
1173,0.543561
